longitude,Latitude,pH,EC,OC,N,P,K
82.35583341,21.85277795,8.2,0.12,0.43,149,7,555
82.35555563,21.85277795,8.2,0.12,0.43,149,7,555
82.35555563,21.85305573,8.2,0.12,0.43,149,7,555
82.1363894,21.87250203,8.5,0.11,0.4,149,7,596.25
79.85527883,21.87695293,8.5,0.13,0.34,133,3.5,582.5
82.57472234,21.90944463,8.3,0.12,0.38,141,12.5,700
82.18833388,21.92805763,8.5,0.11,0.4,149,7,596.25
83.17916799,21.9647228,8,0.18,0.5,165,5.25,500
82.31444535,22.02055596,8.1,0.09,0.25,125,16.25,725
91.15334063,22.03388942,8.4,0.12,0.34,133,8.75,596.25
82.31444535,22.03722263,8.1,0.09,0.25,125,16.25,725
82.86388907,22.15500003,8.5,0.08,0.45,157,8.75,500
83.11250127,22.1794452,8,0.18,0.5,165,5.25,500
83.23750137,22.18472298,8,0.18,0.5,165,5.25,500
83.1752791,22.19750077,8,0.18,0.5,165,5.25,500
83.21139024,22.19972299,8,0.18,0.5,165,5.25,500
83.17472354,22.20416744,8,0.18,0.5,165,5.25,500
83.19805689,22.20944522,8,0.18,0.5,165,5.25,500
79.39916726,22.21389759,8.1,0.13,0.45,157,7,513.75
83.17139021,22.26611193,8,0.18,0.5,165,5.25,500
91.8269551,22.2800088,8.4,0.11,0.29,125,5.25,485
82.65277811,22.31694452,8.4,0.1,0.4,149,5.25,500
83.24305693,22.35722301,8,0.18,0.5,165,5.25,500
83.36111192,22.36666736,8.3,0.14,0.48,157,12.5,568.75
83.36666748,22.37222292,8.3,0.14,0.48,157,12.5,568.75
83.37500082,22.41111184,8.3,0.14,0.48,157,12.5,568.75
89.7158423,22.71000915,8.4,0.09,0.31,133,3.5,457.5
221.7801146,22.76000918,8.6,0.12,0.54,165,8.75,527.5
9.699723262,22.88527801,6.9,0.08,0.34,133,10.5,60
8.387777888,22.93805588,8.2,0.19,0.52,165,10.5,443.83
83.79638906,22.94555575,8.2,0.19,0.72,197,7,388.75
83.79611128,22.94777798,8.2,0.19,0.72,197,7,388.75
83.79166683,22.94805575,8.2,0.19,0.72,197,7,388.75
83.79138905,22.94805575,8.2,0.19,0.72,197,7,388.75
83.79194461,22.94833353,8.2,0.19,0.72,197,7,388.75
83.79111127,22.94861131,8.2,0.19,0.72,197,7,388.75
83.79166683,22.94888909,8.2,0.19,0.72,197,7,388.75
83.79555572,22.94972242,8.2,0.19,0.72,197,7,388.75
83.79611128,22.94972242,8.2,0.19,0.72,197,7,388.75
83.7958335,22.9500002,8.2,0.19,0.72,197,7,388.75
80.25916804,22.98000935,8.5,0.14,0.37,141,10.5,582.5
81.69138917,23.00444504,7.92,0.13,0.46,157,10.5,687.5
83.8425019,23.0180576,8.3,0.09,0.43,149,3.5,340
81.99527846,23.22555694,8.05,0.11,0.05,93,16.25,1082.5
82.16000075,23.34333478,8.1,0.14,0.72,197,8.75,485
83.78305612,23.60750129,8.2,0.17,0.38,141,7,457.5
82.12277815,23.73194654,8.4,0.11,0.29,125,5.25,485
204.4301006,23.93334339,7.2,0.09,0.34,133,7,72.5
102.0922411,24.03501021,8.4,0.12,0.36,141,10.5,541.25
81.93444474,24.12277914,8.4,0.14,0.42,149,5.25,458.75
80.32722367,24.31001043,8.4,0.11,0.36,141,8.75,610
